Group,Tier,Average_Demand_USD
lockbit,1,50000000
darkangels,1,75000000
alphv,1,22000000
ransomhub,1,15000000
clop,1,8000000
revil,1,7000000
conti,1,6000000
blackmatter,1,5000000
qilin,1,5000000
maze,1,4800000
darkside,1,4000000
embargo,1,1300000
blackbasta,1,3500000
royal,1,3000000
monti,1,2500000
hive,1,2500000
inc,1,2000000
ryuk,1,1400000
cuba,1,1000000
nokoyawa,2,1500000
medusa,2,1500000
rhysida,2,800000
cactus,2,750000
doppelpaymer,2,625000
lorenz,2,600000
avaddon,2,600000
bianlian,2,500000
blackbyte,2,450000
play,2,400000
akira,2,350000
8base,2,250000
fog,2,220000
trigona,2,220000
netwalker,2,196000
knight,2,150000
snatch,3,35000
makop,3,20000
phobos,3,19000
dharma,3,12000
gandcrab,3,10000
nemty,3,6500
cerber,3,5000
globeimposter,3,5000
magniber,3,2500
locky,3,2000
stop,3,735
qlocker,3,550
teslacrypt,3,500
wannacry,3,300
xorist,3,250