group_name,first_seen,last_seen,status,leaksite_victim_count,longevity_months,campaign_volume,notes,log_volume,Tier,Service_Score,Aggression_Score,Net_Politeness
stop,2018-12,2025-12,active,460000,84,460000,Most widespread ransomware; 460K+ victims; targets home users via pirated software; demands $490-$980,13.039,3,3.3014,1.6188,1.6826
petya,2016-03,2017-06,inactive,300000,15,300000,"NotPetya (Jun 2017) was wiper, not true ransomware; ~$10B global damage; Petya proper demanded 0.9 BTC",12.612,3,0.3367,0.6734,-0.3367
magniber,2017-10,2025-12,active,50000,98,50000,Targets South Korean/Asian users; successor to Cerber; home user focus; PrintNightmare exploit,10.82,3,2.7275,0.9092,1.8183
teslacrypt,2015-02,2016-05,shutdown,50000,15,50000,Targeted gamers; master key released May 2016; $76.4M demanded per one estimate,10.82,3,1.423,0.2,1.223
shade,2015-01,2020-04,shutdown,30000,63,30000,Released 750K decryption keys at shutdown Apr 2020; mainly targeted Russia/CIS,10.309,3,1.5038,0.7519,0.7519
ctblocker,2014-07,2016-12,inactive,20000,29,20000,CTB-Locker/Critroni; used Tor for C2; affiliate model; targeted WordPress sites,9.904,3,1.7647,0.5882,1.1765
jigsaw,2016-04,2017-12,inactive,10000,20,10000,Deleted files hourly if ransom not paid; decryptor available; demanded $150 in BTC,9.21,3,1.8349,1.3761,0.4587
xorist,2012-01,2025-12,active,10000,167,10000,Builder available for custom variants; low sophistication; demands typically $50-$500,9.21,3,1.1561,0.289,0.8671
keranger,2016-03,2016-03,inactive,7000,0,7000,First macOS ransomware; distributed via Transmission BitTorrent client; brief campaign,8.854,3,2.7211,2.0408,0.6803
jaff,2017-05,2017-07,inactive,1000,2,1000,Brief mass-spam campaign via Necurs botnet; demanded 0.5-2 BTC; quickly disappeared,6.909,2,3.0303,0,3.0303
globeimposter,2016-08,2025-12,active,1000,112,1000,Long-running; distributed via Necurs botnet 2017; mimics Globe ransomware,6.909,2,1.4493,1.4493,0
play,2022-06,2025-12,active,900,42,900,"~900 victims (FBI, May 2025); tripled from 300 in Oct 2023; no dark web portal, uses email",6.804,2,2.785,2.785,0
ransomhub,2024-02,2025-04,closed,748,14,748,736 victims in 2024; top group 2024; ex-Cyclops/Knight rebrand; closed Apr 2025,6.619,1,1.5995,1.6649,-0.0654
qilin,2022-08,2025-12,active,500,40,500,Most active group Q3 2025 (~75 victims/month); absorbed RansomHub affiliates,6.217,1,2.1107,2.1625,-0.0518
matrix,2016-12,2023-12,inactive,500,84,500,Long-running but low profile; targeted RDP; multiple variants,6.217,3,1.6484,1.0989,0.5495
satan,2017-01,2019-12,inactive,500,35,500,"RaaS platform; low entry barrier; variants include DBGer, Lucky",6.217,2,2.8571,0,2.8571
pysa,2019-10,2023-06,inactive,307,44,307,Mespinoza variant; targeted education/healthcare; 307 leak site victims (Trend Micro),5.73,1,4.1667,0,4.1667
cactus,2023-03,2025-12,active,200,33,200,Self-encrypting malware to evade AV; exploits VPN vulnerabilities,5.303,2,4.2009,1.3498,2.8511
inc,2023-07,2025-12,active,200,29,200,INC Ransom; increasing activity Q3 2025 (23→39 victims/month),5.303,1,2.7805,1.9169,0.8636
badrabbit,2017-10,2017-10,inactive,200,0,200,Brief campaign Oct 2017; targeted Russia/Ukraine media; demanded 0.05 BTC; linked to NotPetya actors,5.303,3,0,0,0
makop,2020-01,2025-12,active,200,71,200,Linked to BianLian; targets SMBs; relatively low ransoms; persistent family,5.303,3,2.7866,1.2449,1.5417
8base,2022-03,2025-12,active,200,45,200,Uses Phobos variant; 69 declared victims Q1 2024; claims 'business service' role,5.303,2,3.5671,2.7916,0.7755
karakurt,2021-12,2023-12,inactive,200,24,200,Data-theft only (no encryption); demands $25K-$13M; Conti division; extensive harassment,5.303,1,1.5155,0.9274,0.5881
egregor,2020-09,2021-02,arrested,197,5,197,Maze successor; members arrested Feb 2021 in Ukraine; 197 leak site victims,5.288,1,2.9703,1.9802,0.9901
rhysida,2023-05,2025-12,active,150,31,150,"91+ on leak site by May 2024; British Library, Insomniac Games; linked to Vice Society",5.017,2,2.2069,1.3242,0.8828
vicesociety,2021-06,2023-12,inactive/rebranded,100,30,100,Linked to Rhysida; targeted education sector heavily; used multiple ransomware strains,4.615,2,3.1088,0,3.1088
snatch,2018-12,2025-12,active,100,84,100,Reboots to Safe Mode to bypass AV; targeted enterprise; CISA advisory 2023,4.615,3,2.1472,1.744,0.4032
satana,2016-06,2017-12,inactive,100,18,100,Combined MBR locker + file encryptor; Petya-like; demanded 0.5 BTC,4.615,3,3.5503,0,3.5503
avoslocker,2021-07,2024-01,seized,100,30,100,FBI advisory 2022; targeted critical infrastructure; Linux variant,4.615,2,1.7964,1.1976,0.5988
ransomhouse,2022-03,2025-12,active,100,45,100,Claims to be 'mediators'; notable AMD breach 2022,4.615,1,1.2535,1.5489,-0.2954
blackbyte,2021-07,2025-12,active,100,53,100,Exploits ProxyShell; targeted US critical infrastructure; FBI warning 2022,4.615,2,2.5518,0.1144,2.4375
fog,2024-04,2025-12,active,100,20,100,Targets education/VPN vulnerabilities; rapid encryption; global reach,4.615,2,1.6893,0.8446,0.8446
stormous,2021-07,2025-12,active,80,53,80,Hacktivist-ransomware hybrid; pro-Russia; linked to GhostSec,4.394,2,4.6139,3.167,1.4469
lorenz,2021-04,2023-12,inactive,60,32,60,Targeted SMBs; exploited Mitel VoIP systems; data-theft focus,4.111,2,2.4735,1.8484,0.6251
ragnarlocker,2019-12,2023-10,seized,52,46,52,Semi-private; seized Oct 2023 by Europol; FBI: 52+ orgs in 10 sectors,3.97,1,3.0392,3.1273,-0.0882
blackmatter,2021-07,2021-11,shutdown,50,4,50,DarkSide rebrand; shutdown Nov 2021; avg demand $5.3M; operated only 4 months,3.932,1,2.6951,1.6171,1.078
monti,2022-06,2025-12,active,50,42,50,Conti copycat using leaked code; targets Linux/ESXi,3.932,1,3.3445,1.3378,2.0067
mamba,2016-09,2021-12,inactive,50,63,50,Full-disk encryption using DiskCryptor; targeted enterprise; FBI warning 2021,3.932,3,2.3747,0.2639,2.1108
knight,2023-08,2024-02,rebranded,50,6,50,Cyclops rebrand; sold source code; some affiliates moved to RansomHub,3.932,3,1.766,3.1724,-1.4064
babuk,2021-01,2021-09,inactive/leaked,50,8,50,Source code leaked 2021; attacked DC Metro Police; babuk2 appeared 2025,3.932,1,2.1645,0.4329,1.7316
megacortex,2019-05,2020-12,inactive,47,19,47,Targeted large enterprises; operators arrested 2021 (Ukraine/Switzerland),3.871,1,5.6127,1.0949,4.5178
nephilim,2020-03,2021-06,inactive,40,15,40,Nemty successor; targeted large enterprises; used Citrix vulnerabilities,3.714,2,1.9651,1.7467,0.2183
nokoyawa,2022-02,2023-12,inactive,30,22,30,Linked to Hive; exploited Windows CLFS zero-day,3.434,2,5.0982,2.0548,3.0434
trigona,2022-10,2023-10,wiped,30,12,30,Infrastructure wiped by Ukrainian Cyber Alliance Oct 2023,3.434,2,5.9893,0.4848,5.5045
nemty,2019-08,2020-06,rebranded,30,10,30,Rebranded to Nephilim; briefly active on RaaS forums,3.434,3,2.9198,0.959,1.9608
suncrypt,2019-10,2021-03,inactive,20,17,20,Connected to Maze cartel per Chainalysis; brief operation,3.045,1,0.3805,0.3805,0
robinhood,2019-04,2019-12,inactive,5,8,5,Targeted Baltimore ($76K demand) and Greenville NC; Baltimore cost $18M+ to recover,1.792,2,5.3398,3.3981,1.9417